id,parent_id/id,code,type,name,reconcile,user_type/id
md_acc_23110,md_acc_23100,23110,Regular,Creanţe privind leasingul,TRUE,account.data_account_type_receivable
md_acc_23120,md_acc_23100,23120,Regular,Creanţe privind dobînzile şi redevenţele calculate,TRUE,account.data_account_type_receivable
md_acc_23130,md_acc_23100,23130,Regular,Creanţe privind dividendele calculate,TRUE,account.data_account_type_receivable
md_acc_23140,md_acc_23100,23140,Regular,Alte creanţe privind veniturile ,TRUE,account.data_account_type_receivable
md_acc_23200,md_acc_23000,23200,View,Creanţe preliminate,TRUE,account.data_account_type_view
md_acc_23210,md_acc_23200,23210,Regular,Creanţe preliminate privind decontările cu bugetul,TRUE,account.data_account_type_receivable
md_acc_23220,md_acc_23200,23220,Regular,Creanţe preliminate privind leasingul,TRUE,account.data_account_type_receivable
md_acc_23230,md_acc_23200,23230,Regular,Alte creanţe preliminate,TRUE,account.data_account_type_receivable
md_acc_23300,md_acc_23000,23300,Regular,Creanţe curente privind asigurările ,TRUE,account.data_account_type_receivable
md_acc_23400,md_acc_23000,23400,View,Alte creanţe curente,TRUE,account.data_account_type_view
md_acc_23410,md_acc_23400,23410,Regular,Creanţe privind ieşirea activelor imobilizate,TRUE,account.data_account_type_receivable
md_acc_23420,md_acc_23400,23420,Regular,Creanţe privind reclamaţiile înaintate şi recunoscute,TRUE,account.data_account_type_receivable
md_acc_23430,md_acc_23400,23430,Regular,Creanţe privind alte operaţii,TRUE,account.data_account_type_receivable
md_acc_24000,md_acc_20000,24000,View,NUMERAR,TRUE,account.data_account_type_view
md_acc_24100,md_acc_24000,24100,View,Casa,TRUE,account.data_account_type_view
md_acc_24110,md_acc_24100,24110,Regular,Casa în monedă naţională,TRUE,account.data_account_type_cash
md_acc_24120,md_acc_24100,24120,Regular,Casa în valută străină,TRUE,account.data_account_type_cash
md_acc_24130,md_acc_24100,24130,Regular,Numerar în casierie legat,TRUE,account.data_account_type_cash
md_acc_24200,md_acc_24000,24200,View,Conturi curente în monedă naţională,TRUE,account.data_account_type_view
md_acc_24210,md_acc_24200,24210,Regular,Numerar la conturi nelegat,TRUE,account.data_account_type_bank
md_acc_24220,md_acc_24200,24220,Regular,Numerar la conturi legat,TRUE,account.data_account_type_bank
md_acc_24300,md_acc_24000,24300,View,Conturi curente în valută străină,TRUE,account.data_account_type_view
md_acc_24310,md_acc_24300,24310,Regular,Numerar la conturi în ţară,TRUE,account.data_account_type_bank
md_acc_24320,md_acc_24300,24320,Regular,Numerar la conturi în străinătate,TRUE,account.data_account_type_bank
md_acc_24330,md_acc_24300,24330,Regular,Numerar la conturi legat,TRUE,account.data_account_type_bank
md_acc_24400,md_acc_24000,24400,View,Alte conturi bancare,TRUE,account.data_account_type_view
md_acc_24410,md_acc_24400,24410,Regular,Acreditive,TRUE,account.data_account_type_bank
md_acc_24420,md_acc_24400,24420,Regular,Carduri bancare,TRUE,account.data_account_type_bank
md_acc_24430,md_acc_24400,24430,Regular,Numerar la alte conturi bancare,TRUE,account.data_account_type_bank
md_acc_24500,md_acc_24000,24500,Regular,Transferuri de numerar în expediţie,TRUE,account.data_account_type_bank
md_acc_24600,md_acc_24000,24600,Regular,Documente băneşti,TRUE,account.data_account_type_bank
md_acc_25000,md_acc_20000,25000,View,INVESTIŢII FINANCIARE CURENTE,TRUE,account.data_account_type_view
md_acc_25100,md_acc_25000,25100,View,Investiţii financiare curente în părţi neafiliate,TRUE,account.data_account_type_view
md_acc_25110,md_acc_25100,25110,Regular,Valori mobiliare ,TRUE,account.data_account_type_asset
md_acc_25120,md_acc_25100,25120,Regular,Cote de participaţie,TRUE,account.data_account_type_asset
md_acc_25130,md_acc_25100,25130,Regular,Depozite,TRUE,account.data_account_type_asset
md_acc_25140,md_acc_25100,25140,Regular,Împrumuturi acordate,TRUE,account.data_account_type_asset
md_acc_25150,md_acc_25100,25150,Regular,Alte investiţii financiare curente,TRUE,account.data_account_type_asset
md_acc_25200,md_acc_25000,25200,View,Investiţii financiare curente în părţi afiliate,TRUE,account.data_account_type_view
md_acc_25210,md_acc_25200,25210,Regular,Valori mobiliare ,TRUE,account.data_account_type_asset
md_acc_25220,md_acc_25200,25220,Regular,Cote de participaţie,TRUE,account.data_account_type_asset
md_acc_25230,md_acc_25200,25230,Regular,Depozite,TRUE,account.data_account_type_asset
md_acc_25240,md_acc_25200,25240,Regular,Împrumuturi acordate,TRUE,account.data_account_type_asset
md_acc_25250,md_acc_25200,25250,Regular,Alte investiţii financiare curente,TRUE,account.data_account_type_asset
md_acc_26000,md_acc_20000,26000,View,ALTE ACTIVE CIRCULANTE,TRUE,account.data_account_type_view
md_acc_26100,md_acc_26000,26100,Regular,Cheltuieli anticipate curente,TRUE,account.data_account_type_asset
md_acc_26200,md_acc_26000,26200,Regular,Alte active circulante,TRUE,account.data_account_type_asset
md_acc_30000,md_acc_0,30000,View,CAPITAL PROPRIU,TRUE,account.data_account_type_view
md_acc_31000,md_acc_30000,31000,View,CAPITAL SOCIAL ŞI SUPLIMENTAR,TRUE,account.data_account_type_view
md_acc_31100,md_acc_31000,31100,Regular,Capital social,TRUE,account.data_account_type_cash
md_acc_31200,md_acc_31000,31200,View,Capital suplimentar,TRUE,account.data_account_type_cash
md_acc_31210,md_acc_31200,31210,Regular,Prime de aporturi,TRUE,account.data_account_type_cash
md_acc_31220,md_acc_31200,31220,Regular,Diferenţe din anularea sau înstrăinarea părţilor sociale retrase,TRUE,account.data_account_type_cash
md_acc_31230,md_acc_31200,31230,Regular,Alte elemente de capital suplimentar,TRUE,account.data_account_type_cash
md_acc_31300,md_acc_31000,31300,View,Capital nevărsat,TRUE,account.data_account_type_view
md_acc_31310,md_acc_31300,31310,Regular,Capital nevărsat privind părţile sociale neachitate de proprietari,TRUE,account.data_account_type_cash
